Order,SalePrice
2127,123600
193,209500
2407,202665
46,224000
2478,187000
1604,119500
1721,209500
1491,135000
706,129500
772,113500
1005,183000
789,127500
2583,156000
679,90000
293,169000
368,372500
305,68400
1906,165000
1954,120000
1088,190000
2135,131000
1431,200000
315,160000
2906,164000
2693,72000
1206,109008
1958,119200
2340,318000
1945,156000
2441,287602
1930,129500
2515,200000
2006,136500
2276,392000
2580,153000
1564,300000
994,165000
2018,137500
5,189900
1444,223500
655,99900
300,162500
1560,392500
805,239900
708,80000
2892,335000
1209,180500
1069,370000
2434,201490
256,155000
2642,139900
1939,116900
907,159434
1537,257076
51,175500
1403,256000
1709,354000
2569,226000
2105,203000
1679,106000
2456,336820
352,240000
1366,89500
1326,97000
985,149000
2513,165000
2157,131500
826,239000
2301,135000
1662,178900
1951,148000
29,184000
2712,142500
2726,278000
1172,328900
2044,50000
1791,307000
111,218500
41,220000
714,87500
2431,192140
158,97500
491,245000
855,134900
2445,300000
2473,132000
2090,228500
1046,111750
2639,111500
1211,140000
997,173000
1540,263400
1612,167300
837,143000
2074,211000
99,152000
1656,152000
2564,137000
2283,168000
814,148325
2919,79500
1337,120000
1926,116000
1501,82000
1830,129000
608,145100
1295,122250
2705,157000
1309,153900
738,93000
726,146500
2161,179400
2453,290000
1903,64500
2323,270000
2588,133500
1222,118000
1936,127000
1194,147000
2388,309000
367,501837
2159,219500
221,125000
2728,225000
1242,139000
774,149900
1570,228500
1179,245500
676,133000
1720,209500
686,133500
1907,144000
298,203135
758,97500
1833,302000
2702,130000
2554,137000
302,125500
482,178000
319,269500
2372,108000
488,179000
541,142000
395,156000
1271,159000
2879,108000
2426,167240
601,118000
443,350000
1027,146900
528,264500
1495,147000
1395,108000
1381,145000
2464,266000
66,410000
684,138000
847,195000
797,131000
1190,215000
2229,198000
2332,356383
2605,160000
2872,223000
1697,395000
1995,144100
2697,84500
2362,88000
1074,266000
2214,239000
2823,196500
1488,123000
1144,190500
1329,108000
383,197500
694,128900
2381,342643
228,158900
127,142125
1857,218000
522,370878
1308,139500
1743,194201
2122,177500
773,130000
2186,111000
1127,339750
1614,244000
1288,111000
1334,106900
2930,188000
2628,119000
2771,187000
933,115000
2709,153600
2717,160500
1571,228950
1234,227000
2520,188000
757,123000
1418,95000
1416,125000
2019,132000
2855,200100
2254,148000
1454,230000
1489,147500
2582,135960
1037,123000
249,147000
1659,175000
2706,148000
633,176000
292,100000
283,113000
231,85000
2888,209000
1157,140000
394,148500
1629,163900
2429,264561
2316,185000
108,206000
867,313000
7,213500
547,171500
1409,185000
18,394432
2768,158900
1178,345000
2170,110000
2724,145000
1508,99000
1072,192000
2788,119900
1021,235000
784,135000
675,113500
2205,135000
1142,193500
1588,370000
1071,367294
1404,177000
1306,65000
1298,78000
2825,229000
2623,109900
1700,440000
2786,128500
112,243500
2838,104900
703,135000
1606,138000
1504,82500
878,144000
2733,146000
219,131500
188,149700
347,189000
2498,129200
2199,136500
2010,135000
725,119000
2536,138500
1044,85400
2080,154000
2461,198600
2646,108000
2054,123000
1878,144000
2384,293000
261,161750
2069,150000
1331,153000
2719,157000
1819,120750
439,335000
1755,219500
1040,103400
1853,312500
1235,135000
304,110000
682,139000
1692,492000
2132,217500
2154,211000
603,140000
1514,98000
82,171000
152,119000
1118,257000
2701,131000
465,184000
1001,247900
1838,208900
809,153337
1238,136500
55,184500
1826,128500
2244,140000
1684,129250
2613,159500
1855,255000
166,160000
1696,479069
1585,195000
2300,129500
903,110000
1925,174850
500,265000
1748,175000
2202,148500
2212,238000
1217,142000
2572,135000
331,75500
162,132000
2734,128000
1952,86000
1923,150000
2710,164500
2535,157500
76,143000
2449,258000
1012,325000
561,131400
1938,115000
665,106000
1145,175000
1353,184000
536,143500
2450,350000
1795,210400
2011,128000
910,197000
232,128000
1272,125900
1247,137500
526,252000
1382,130000
2555,121600
966,220000
548,120000
2288,93900
2681,149000
2111,175900
1345,162900
204,159900
2032,139400
2197,165000
14,171500
2854,167000
614,122000
2277,281213
2311,183500
2440,173000
404,125000
731,205000
969,425000
2707,90000
2852,149000
2897,180000
1917,141000
2180,171500
2731,148400
2595,112000
2928,132000
196,128000
1762,384500
1355,145000
397,143000
935,121000
1543,116500
896,120000
88,133000
589,113000
1996,117500
1886,124000
1737,181134
48,320000
564,275000
2294,188000
59,222500
2667,475000
2017,132500
73,233000
1453,124900
2915,79400
2097,383970
988,196000
1160,196000
1934,136000
1099,284500
336,149900
2797,268500
1292,118000
2699,137500
1789,225000
181,100000
2308,169000
2484,107000
559,124100
121,159000
900,119900
1991,145000
1646,178000
1484,149000
621,140000
1649,192000
1385,152000
172,109500
2895,228000
2400,374000
2094,238000
2596,99800
416,148500
680,138000
840,207000
1033,306000
2305,124500
307,55993
2803,133000
934,137000
1216,145500
599,161500
1579,218689
2808,200000
1335,164900
2444,286000
2330,457347
1163,165000
474,160200
1232,174000
830,194500
2890,148000
1510,135000
1849,174000
578,180500
1224,141500
496,403000
1786,248328
2614,120000
433,610000
2780,192500
1726,221370
178,130000
2723,105000
322,378500
1180,217500
2565,121000
1197,142600
749,167500
1834,285000
286,104000
2298,129500
103,155000
225,137250
817,269500
109,130500
2140,120000
2790,255000
11,175900
4,244000
1356,130000
429,335000
1876,143000
1354,162500
1754,181000
1136,159000
2703,125000
2653,139000
2704,80000
1827,125500
1302,140000
587,197900
1565,271000
1766,322500
1490,165000
914,137450
2246,375000
2036,212300
2194,119000
611,158000
775,134900
2568,98600
182,12789
980,88000
2037,161000
1218,141000
276,100000
631,150000
2176,148000
2267,204000
2275,283463
2543,129900
1195,135000
944,75000
206,110000
1219,153000
2060,134500
1653,151500
2242,68104
1045,89500
877,213000
2249,156000
2287,106500
535,152000
2413,169985
590,230000
2369,91500
750,155000
1901,138500
1239,185000
2147,270000
1894,224500
222,154000
1909,105000
841,145000
2523,385000
1962,129000
1166,179400
1576,264966
138,190000
2518,165000
1398,144000
1457,230500
2866,199500
938,315000
1105,290000
1777,260261
1900,124000
1363,120000
1767,252000
2291,75190
2183,140000
2482,151000
1989,100000
440,274900
2594,127000
95,190000
1449,143195
2604,105000
269,143750
33,127500
200,138400
583,200000
229,328000
1847,177000
1536,104000
303,82000
1760,185000
2402,275000
2602,155500
959,224500
1832,147000
792,154400
617,149500
1874,127000
2334,361919
481,192000
2847,140000
2846,160000
2485,119900
2637,107000
2437,172400
1594,124000
288,58500
701,94550
502,260000
120,128950
365,180500
2378,144000
558,122000
1993,114000
562,62383
1364,127500
2235,129850
1608,160000
955,152000
1837,193800
2226,123900
1336,119000
606,167000
1542,224000
2169,118500
574,172500
1130,230348
2102,200141
234,230000
2035,141000
1959,143000
1133,188000
83,67500
2711,132000
189,125500
1916,129000
550,184000
2357,162900
912,135000
1674,155000
856,150500
937,208000
544,220000
478,189500
2689,117000
1865,240050
1467,207000
398,76500
1150,128000
1250,139000
1420,260000
1957,122900
2350,207500
251,206000
1451,110000
1534,198000
281,90000
778,165000
2119,279000
1521,130000
2027,140000
1186,174000
1090,188000
2136,153500
2552,129800
2849,128000
430,404000
922,160000
1580,150000
762,88750
556,135000
1003,180000
1947,109000
1859,187000
2396,360000
477,170000
1590,206300
791,60000
1731,168165
57,185088
209,244400
2452,321000
1563,275000
1518,179500
2809,203160
426,256300
2476,184000
242,308030
813,142953
1498,284700
570,195000
2556,85500
2634,105000
2009,210000
2669,125000
2813,198000
1556,40000
974,91000
2641,178000
1226,141500
2100,360000
2591,167000
1883,126500
651,95000
881,190000
1771,290000
926,205000
1942,112500
2108,195400
2257,330000
560,129000
1343,123000
2152,228000
2344,229000
2508,147400
2047,126000
1808,147000
624,187500
220,121500
258,191000
1039,181000
1655,192350
2166,168675
217,136000
511,275500
1622,160000
2021,102000
593,227000
493,214000
332,88250
1266,242000
1630,168000
415,147000
1922,139400
976,86000
1525,191000
645,126000
958,315500
2120,139500
2533,142000
639,144000
1148,193000
2448,280000
2610,159000
195,134000
1978,140000
798,105000
1010,188500
1526,177000
2647,111500
2615,129900
2832,137500
2799,227000
1400,192000
636,155000
255,138500
2071,89500
1920,139000
1632,170000
192,128500
1358,161000
2039,101000
1146,179200
1593,173000
2685,113000
1967,156500
2370,118000
1809,149000
453,196000
1352,207000
197,132000
2850,160000
2869,217500
